Timestamp,What is your email?,In which country do you currently reside?,Select the title most similar to your current role,How would you rate your expertise in these languages [Python],How would you rate your expertise in these languages [R],How would you rate your expertise in these languages [SQL],How would you rate your expertise in these languages [C],How would you rate your expertise in these languages [C++],How would you rate your expertise in these languages [Java],How would you rate your expertise in these languages [Javascript],How would you rate your expertise in these languages [Panda],How would you rate your expertise in these languages [Bash],How would you rate your expertise in these languages [MATLAB],How would you rate your expertise in these languages [Other],How would you rate your overall analytics expertise?,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis? (Select all that apply)",Have you realized these types of initiatives in these platforms? [Data Warehouse],Have you realized these types of initiatives in these platforms? [Data Lakes],Have you realized these types of initiatives in these platforms? [ML/AI],Have you realized these types of initiatives in these platforms? [Data Preparation],Have you realized these types of initiatives in these platforms? [ETL],Have you realized these types of initiatives in these platforms? [Data Onboarding],Email Address
7/25/2020 19:04:41,dmoverley8@usda.gov,Serbia,Data Analyst,expert,competent,proficient,beginner,beginner,competent,beginner,competent,none,competent,proficient,2,Database B,Platform D,Platform C,Platform B Platform C,Platform D,Platform A;Platform B;Platform C,Platform B,dmoverley8@usda.gov
9/6/2020 6:02:31,bbevisa@spotify.com,Indonesia,Data Scientist,competent,proficient,expert,none,proficient,beginner,beginner,competent,competent,proficient,proficient,5,Database C,Platform D,Platform B;Platform C,Platform A;Platform B,Platform C,Platform D,Platform A,bbevisa@spotify.com
4/20/2020 19:28:19,fbertwistlec@myspace.com,Ukraine,Data Scientist,competent,expert,beginner,expert,beginner,proficient,none,beginner,none,beginner,expert,2,Database A,Platform D,Platform A;Platform C,Platform C,Platform D;Platform B,Platform A;Platform B;Platform C,Platform B;Platform C,fbertwistlec@myspace.com
10/2/2020 3:20:53,pcoytel@seattletimes.com,Peru,Data Analyst,beginner,expert,beginner,expert,proficient,beginner,beginner,beginner,proficient,none,beginner,2,Database C,Platform A,Platform A;Platform C,Platform C,Platform A;Platform D;Platform C,Platform B;Platform C,Platform B,pcoytel@seattletimes.com
4/9/2020 15:19:12,ccinavasn@virginia.edu,Hungary,Citizen Data Scientist,proficient,expert,proficient,competent,proficient,proficient,beginner,competent,expert,expert,beginner,4,Database E,Platform B,Platform A;Platform B,Platform A;Platform B,Platform A,Platform D;Platform B,Platform C,ccinavasn@virginia.edu
5/14/2020 21:22:42,rchilverq@sciencedaily.com,Honduras,Data Analyst,competent,proficient,none,proficient,proficient,beginner,expert,none,expert,competent,proficient,1,Database B;Database E,Platform C,Platform A;Platform C,Platform A;Platform C,"Platform A;Platform D,Platform B",Platform A;Platform D;Platform C,Platform D;Platform B,rchilverq@sciencedaily.com
9/18/2020 3:03:53,mgeorges@privacy.gov.au,Argentina,Product/Project Manager,expert,beginner,beginner,expert,expert,proficient,competent,expert,beginner,expert,proficient,5,Database E,Platform D,Platform B,Platform A,Platform A;Platform B;Platform C,Platform A;Platform B;Platform C,Platform A;Platform D;Platform C,mgeorges@privacy.gov.au
3/6/2020 9:16:25,jgeogheganv@barnesandnoble.com,China,Data Analyst,beginner,beginner,proficient,beginner,none,expert,expert,none,none,beginner,beginner,4,Database B;Database A;Database D,Platform C,Platform B,Platform B,Platform D,Platform B;Platform C,"Platform A;Platform D,Platform B",jgeogheganv@barnesandnoble.com
8/2/2020 0:54:10,gkenforthw@toplist.cz,United States,Data Scientist,beginner,expert,proficient,proficient,none,beginner,none,expert,competent,proficient,proficient,4,Database B,Platform B,Platform B,Platform A;Platform B,Platform A,Platform A,Platform D;Platform B,gkenforthw@toplist.cz
5/7/2020 4:26:30,djelly@xinhuanet.com,Colombia,Citizen Data Scientist,proficient,none,beginner,competent,competent,none,expert,beginner,none,expert,expert,4,Database C,Platform B,Platform A;Platform B;Platform C,Platform A;Platform C,Platform B,Platform B;Platform C,Platform A;Platform B;Platform C,djelly@xinhuanet.com
9/20/2020 8:50:39,amatts14@usda.gov,Russia,Data Engineer,beginner,beginner,competent,none,proficient,proficient,expert,beginner,competent,none,competent,3,Database D,Platform A,Platform A;Platform B,Platform C,Platform D;Platform C,Platform D;Platform B,Platform B,amatts14@usda.gov
8/7/2020 3:46:30,abiagioni19@ox.ac.uk,Poland,Data Engineer,proficient,expert,none,proficient,proficient,proficient,beginner,competent,competent,proficient,none,2,Database B,Platform C,Platform A;Platform B,Platform B,Platform D,Platform A,Platform D,abiagioni19@ox.ac.uk
8/4/2020 14:04:15,civerson1b@sfgate.com,China,Citizen Data Scientist,competent,expert,competent,expert,expert,beginner,competent,beginner,proficient,expert,competent,4,Database B;Database E,Platform A,Platform A,Platform A;Platform B;Platform C,Platform B,Platform B,Platform A,civerson1b@sfgate.com
2/15/2020 21:40:32,tmartinovsky1f@ucoz.com,Armenia,Data Analyst,proficient,none,proficient,competent,none,proficient,beginner,competent,none,expert,none,2,Database B;Database A;Database D,Platform A,Platform B,Platform A,Platform D;Platform B,Platform B,Platform B,tmartinovsky1f@ucoz.com
7/23/2020 16:38:31,bflaherty1o@marketwatch.com,Niger,Product/Project Manager,competent,expert,beginner,none,beginner,beginner,beginner,expert,beginner,beginner,none,1,Database B;Database A;Database D,Platform D,Platform B;Platform C,Platform B Platform C,Platform D;Platform C,Platform D;Platform C,Platform A,bflaherty1o@marketwatch.com
10/10/2020 14:23:21,fdebruijn1u@pinterest.com,France,Data Scientist,none,none,proficient,proficient,expert,expert,expert,beginner,beginner,beginner,proficient,4,Database B;Database A;Database D,Platform B,Platform B,Platform A;Platform B,Platform A,"Platform A;Platform D,Platform B",Platform D;Platform C,fdebruijn1u@pinterest.com
7/8/2020 0:44:58,lcarpe1x@marriott.com,Sri Lanka,Data Analyst,competent,proficient,proficient,expert,beginner,beginner,competent,proficient,proficient,beginner,proficient,2,Database C,Platform C,Platform A;Platform C,Platform A,Platform A,"Platform A;Platform D,Platform B",Platform A;Platform B;Platform C,lcarpe1x@marriott.com
3/5/2020 4:03:54,rcoarser1y@people.com.cn,Brazil,Data Analyst,expert,beginner,proficient,beginner,beginner,proficient,expert,proficient,none,expert,proficient,2,Database C,Platform C,Platform A;Platform B,Platform C,Platform B;Platform C,Platform D;Platform C,Platform B,rcoarser1y@people.com.cn
9/25/2020 21:19:38,gbeaglehole1z@geocities.jp,Philippines,Data Analyst,none,expert,none,beginner,none,proficient,proficient,expert,beginner,proficient,proficient,4,Database C,Platform C,Platform A;Platform B;Platform C,Platform B,"Platform A;Platform D,Platform B",Platform A;Platform B;Platform C,Platform B,gbeaglehole1z@geocities.jp
6/22/2020 19:34:26,rbetje26@cbslocal.com,Uruguay,Data Analyst,competent,beginner,competent,proficient,competent,expert,none,none,beginner,expert,beginner,5,Database B;Database A;Database D,Platform C,Platform A,Platform A;Platform B;Platform C,Platform D;Platform C,Platform A,Platform C,rbetje26@cbslocal.com
12/7/2020 17:14:02,mgerssam28@umn.edu,Greece,Data Analyst,expert,expert,none,beginner,proficient,none,none,competent,competent,competent,none,4,Database C,Platform A,Platform B;Platform C,Platform C,Platform A;Platform B;Platform C,Platform A;Platform B;Platform C,Platform D;Platform C,mgerssam28@umn.edu
8/28/2020 16:20:36,ebucklan2a@shop-pro.jp,Indonesia,Software Engineer,proficient,none,competent,proficient,proficient,proficient,competent,proficient,competent,expert,proficient,5,Database B;Database E,Platform A,Platform B,Platform A,Platform A;Platform D;Platform C,Platform C,Platform B,ebucklan2a@shop-pro.jp
1/28/2020 17:52:18,vcranidge2b@wunderground.com,Malaysia,Citizen Data Scientist,none,expert,expert,competent,competent,competent,beginner,expert,proficient,expert,proficient,4,Database B;Database A;Database D,Platform D,Platform A;Platform B;Platform C,Platform A;Platform B;Platform C,Platform C,Platform B,Platform A,vcranidge2b@wunderground.com
4/10/2020 10:37:33,ywrankling2f@jugem.jp,Italy,Data Scientist,beginner,beginner,none,expert,beginner,none,proficient,competent,beginner,expert,beginner,3,Database B;Database A;Database D,Platform D,Platform A;Platform B,Platform B Platform C,Platform B,Platform C,Platform D;Platform B,ywrankling2f@jugem.jp
2/3/2020 13:10:46,cpryor2g@mail.ru,Germany,Product/Project Manager,proficient,expert,competent,proficient,beginner,beginner,proficient,competent,beginner,expert,competent,3,Database C,Platform B,Platform B;Platform C,Platform A;Platform B;Platform C,Platform D,Platform A;Platform B;Platform C,Platform A;Platform B;Platform C,cpryor2g@mail.ru
5/4/2020 16:50:21,lthorald2i@china.com.cn,Indonesia,Product/Project Manager,competent,competent,none,competent,none,beginner,competent,beginner,proficient,beginner,expert,3,Database B,Platform C,Platform A;Platform B,Platform A;Platform B;Platform C,Platform C,Platform A;Platform B;Platform C,Platform A;Platform D;Platform C,lthorald2i@china.com.cn
9/27/2020 0:04:05,awoolacott2r@bluehost.com,Zimbabwe,Data Scientist,beginner,proficient,expert,proficient,proficient,beginner,expert,none,competent,proficient,none,2,Database E,Platform C,Platform A;Platform B;Platform C,Platform A;Platform B,Platform A;Platform D;Platform C,Platform A;Platform D;Platform C,"Platform A;Platform D,Platform B",awoolacott2r@bluehost.com
7/1/2020 13:26:17,rleacock2u@washingtonpost.com,Palestinian Territory,Software Engineer,proficient,none,competent,competent,competent,beginner,proficient,expert,competent,beginner,competent,1,Database B;Database A;Database D,Platform A,Platform C,Platform B Platform C,Platform D;Platform C,Platform D;Platform C,Platform D;Platform C,rleacock2u@washingtonpost.com
5/8/2020 16:41:30,efairbrother2y@printfriendly.com,Mongolia,Citizen Data Scientist,proficient,proficient,proficient,beginner,beginner,competent,none,expert,expert,expert,beginner,5,Database B;Database E,Platform D,Platform A;Platform B,Platform A;Platform B,Platform A;Platform D;Platform C,Platform D;Platform B,Platform A,efairbrother2y@printfriendly.com
4/14/2020 12:03:22,scobb2z@booking.com,Mexico,Data Scientist,proficient,expert,beginner,proficient,none,proficient,beginner,competent,expert,none,proficient,3,Database C,Platform D,Platform A,Platform A;Platform B,Platform A;Platform B;Platform C,Platform A;Platform D;Platform C,Platform A;Platform B;Platform C,scobb2z@booking.com
11/29/2020 22:49:28,gfrancklyn31@amazon.co.uk,Indonesia,Product/Project Manager,proficient,beginner,beginner,beginner,expert,proficient,none,beginner,competent,competent,beginner,1,Database C,Platform C,Platform A,Platform B Platform C,Platform B,"Platform A;Platform D,Platform B",Platform D;Platform B,gfrancklyn31@amazon.co.uk
8/10/2020 5:36:26,mshimon38@examiner.com,China,Software Engineer,beginner,expert,expert,none,proficient,competent,competent,competent,proficient,expert,expert,4,Database C,Platform C,Platform B;Platform C,Platform B,"Platform A;Platform D,Platform B",Platform A,Platform A,mshimon38@examiner.com
1/22/2020 19:19:07,lgaisford3j@cpanel.net,Russia,Software Engineer,beginner,expert,expert,beginner,competent,competent,proficient,beginner,expert,competent,competent,3,Database C,Platform B,Platform A,Platform C,Platform A,Platform A;Platform B;Platform C,Platform D,lgaisford3j@cpanel.net
8/18/2020 11:50:21,amalinowski3l@altervista.org,Brazil,Citizen Data Scientist,competent,beginner,expert,proficient,expert,expert,none,expert,proficient,expert,expert,3,Database C,Platform B,Platform B,Platform B,Platform C,Platform D;Platform B,Platform A,amalinowski3l@altervista.org
3/25/2020 23:10:05,zkluge3x@canalblog.com,Tajikistan,Data Engineer,proficient,none,expert,competent,expert,beginner,expert,proficient,none,competent,beginner,1,Database D,Platform B,Platform A;Platform C,Platform C,Platform B,Platform B,Platform A,zkluge3x@canalblog.com
4/17/2020 20:46:12,dlunge3y@bloglovin.com,Ukraine,Software Engineer,competent,none,proficient,competent,expert,expert,expert,proficient,beginner,beginner,none,2,Database B,Platform D,Platform B,Platform A;Platform B;Platform C,Platform D;Platform C,Platform A;Platform D;Platform C,Platform D;Platform B,dlunge3y@bloglovin.com
6/24/2020 0:34:25,bgilphillan42@hibu.com,Canada,Data Analyst,proficient,proficient,expert,none,proficient,none,expert,expert,proficient,competent,proficient,3,Database D,Platform C,Platform A;Platform C,Platform B Platform C,Platform D,Platform C,Platform A,bgilphillan42@hibu.com
